Name,Meaning
Jewel,precious gem.
Jewell,precious.
Jez,pure.
Jezebel,unexalted.
Jia,auspicious or beautiful.
Jian,strong.
Jiana,God is gracious.
Jigar,heart.
Jigme,fearless.
Jignesh,curiosity to know.
Jill,youthful.
Jillian,child of the gods.
Jim,supplanter.
Jimi,supplanter.
Jimmie,supplanter.
Jimmy,supplanter.
Jin,gold or bright.
Jina,victorious.
Jinesh,lord of victory.
Jing,crystal clear.
Jinny,maiden.
Jira,related by blood.
Jiro,second son.
Jiya,sweetheart.
Jo,God will increase.
Joan,God is gracious.
Joann,God is gracious.
Joanna,God is gracious.
Joanne,God is gracious.
Joaquin,God will establish.
Job,persecuted.
Jobe,persecuted.
Joby,persecuted.
Jocelyn,happy or joyful.
Jock,God is gracious.
Jodal,praise.
Jodee,praise.
Jodi,praise.
Jodie,praised.
Jody,praise.
Joe,God will increase.
Joel,Jehovah is God.
Joelle,Jehovah is God.
Joey,God will increase.
Johan,God is gracious.
Johana,God is gracious.
Johannes,God is gracious.
John,God is gracious.
Johnathan,gift of God.
Johnathan,God has given.
Johnnie,God is gracious.
Johnny,God is gracious.
Joi,joy.
Joie,joy.
Jojo,God will increase.
Jola,violet flower.
Jolan,violet.
Jolene,God will increase.
Jolie,pretty.
Jolyon,youthful.
Jon,God is gracious.
Jonah,dove.
Jonas,dove.
Jonathan,gift of God.
Jonathon,God has given.
Joni,God is gracious.
Jonty,God has given.
Joost,just.
Jordan,to flow down.
Jordana,descend.
Jordi,farmer.
Jordon,flowing down.
Jordy,descendant.
Jorge,farmer.
Jorgina,farmer.
Jori,pearl.
Jorie,alert.
Joris,farmer.
Jorn,farmer.
Jory,farmer.
Jose,God will increase.
Josef,God will increase.
Josefa,God will increase.
Josefina,God will increase.
Joseph,God will increase.
Josephine,God will increase.
Josh,God is salvation.
Joshua,Jehovah is salvation.
Josiah,God heals.
Josie,God will add.
Joslyn,cheerful.
Joss,a Goth.
Josue,God is salvation.
Jourdain,flowing down.
Journey,travel.
Jovan,majestic.
Jovanni,God is gracious.
Jovany,majestic.
Jovi,joyful.
Jovian,of Jupiter.
Jovita,happy.
Joy,happiness.
Joyce,cheerful or merry.
Joyner,carpenter.
Juan,God is gracious.
Juana,God is gracious.
Juanita,God is gracious.
Jubal,ram's horn.
Judah,praise.
Judas,praised.
Judd,praised.
Jude,praise.
Judith,woman of Judea.
Judy,praised.
Judson,son of Judd.
Jules,youthful.
Julia,youthful.
Julian,youthful.
Juliana,youthful.
Julianna,youthful.
Julianne,youthful.
Julie,youthful.
Julien,youthful.
Juliet,youthful.
Juliette,youthful.
Julio,youthful.
Julissa,soft-haired.
Julius,youthful.
June,born in June.
Junia,born in June.
Junior,younger.
Junius,born in June.
Juniper,berry bush.
Junot,young.
Jurgen,farmer.
Justice,righteousness.
Justin,just and fair.
Justina,just.
Justine,righteous.
Justus,just.
Juwan,God is gracious.
Jyoti,light.
Jyotir,brilliance.

Kaali,the dark one.
Kabir,great or famous.
Kace,vigilant.
Kacey,alert.
Kade,gentle or round.
Kaden,companion.
Kadesh,holy.
Kadie,pure.
Kadin,friend.
Kael,mighty warrior.
Kaela,beloved.
Kaelan,slender.
Kaelyn,meadow.
Kaeto,focus.
Kagami,mirror.
Kahlil,friend.
Kai,sea or ocean.
Kaia,to rejoice.
Kaiden,fighter.
Kailas,mountain.
Kailee,laurel.
Kairi,sea.
Kairo,victorious.
Kaiser,emperor.
Kaitlyn,pure.
Kaja,bird.
Kajal,kohl or eyeliner.
Kala,black or time.
Kalani,the heavens.
Kaleb,faithful.
Kalel,son of the star.
Kalena,pure.
Kali,energetic.
Kalia,beauty.
Kalid,eternal.
Kalina,rowan tree.
Kalino,brilliant.
Kallie,most beautiful.
Kallum,dove.
Kalpana,imagination.
Kalvin,bald.
Kalyan,blessed.
Kamal,lotus or perfection.
Kamala,lotus.
Kamari,moon-like.
Kamden,winding valley.
Kameron,crooked nose.
Kami,divine.
Kamila,perfect.
Kamran,successful.
Kamryn,crooked stream.
Kana,powerful.
Kanani,the beautiful one.
Kandace,glowing.
Kane,warrior.
Kanishka,king of ancient times.
Kannon,mercy.
Kanoa,the free one.
Kanon,flower.
Kanta,beautiful.
Kanti,radiant.
Kanya,maiden.
Kao,high.
Kaori,fragrant.
Kapil,name of a sage.
Kara,beloved or dear.
Karan,clever or skilled.
Kareem,generous.
Karel,free man.
Karen,pure.
Kari,pure.
Karim,noble.
Karis,grace.
Karishma,miracle.
Karissa,very dear.
Karl,free man.
Karla,strong.
Karlee,free woman.
Karma,destiny.
Karol,strong.
Karsten,anointed.
Karthik,one who bestows courage.
Kartier,wagon driver.
Karun,compassionate.
Karuna,mercy.
Karunya,compassion.
Karyn,pure.
Kase,case maker.
Kasem,happiness.
Kasen,pure.
Kasha,pure.
Kashif,discoverer.
Kashmir,land of grapes.
Kashvi,shining.
Kasie,vigilant.
Kasim,divider.
Kasin,shining.
Kaspar,treasurer.
Kasper,guardian of treasure.
Kassandra,shining upon man.
Kassidy,curly-haired.
Kassie,pure.
Kastor,beaver.
Kat,pure.
Kata,pure.
Katalina,pure.
Katara,water droplets.
Katarina,pure.
Kate,pure.
Katelyn,pure.
Katerina,pure.
Katharine,pure.
Katherine,pure.
Kathleen,pure.
Kathryn,pure.
Kathy,pure.
Katia,pure.
Katina,pure.
Katniss,arrowhead plant.
Katriel,God is my crown.
Katrina,pure.
kaveri,river.
Katy,pure.
Katya,pure.
Kavita,poem.
Kavya,poetry in motion.
Kay,rejoiced.
Kaya,pure or elder sister.
Kayden,companion.
Kaye,pure.
Kayla,crown of laurels.
Kaylee,meaded.
Kayleigh,slim and fair.
Kaylen,pure.
Kayley,pure.
Kaylie,beloved.
Kaylin,slender.
Kaylo,mountain.
Kaylyn,lake.
Kayson,son of Kay.
Kaz,peace.
Kazuo,peaceful man.
Kazure,harmonious.
Kean,ancient.
Keane,sharp.
Keanu,cool breeze.
Keara,dark.
Kearney,soldier.
Keaton,place of hawks.
Keavy,gentle.
Keddar,powerful.
Kedzie,from the river.
Keefe,noble.
Keegan,fiery.
Keelan,slender.
Keeler,little hollow.
Keeley,beautiful.
Keely,graceful.
Keen,sharp.
Keenan,ancient.
Keerthi,fame.
Keeya,garden flower.
Kegan,fiery.
Keher,lion.
Kei,blessed or respect.
Keifer,barrel maker.
Keiki,child.
Keiko,blessed child.
Keila,pure.
Keira,dark-haired.
Keiran,little dark one.
Keisha,favorite.
Keith,wood or forest.
Kekoa,the brave one.
Kelan,slender.
Kelby,farm by the spring.
Kelcie,ship victory.
Kell,from the spring.
Kellan,powerful.
Kellen,slender.
Keller,cellar master.
Kelley,bright-headed.
Kelli,warrior.
Kellie,lively.
Kelly,brave warrior.
Kelsey,ship's victory.
Kelvin,river friend.
Kemal,highest honor.
Kemp,champion.
Ken,born of fire.
Kena,flower.
Kenan,possession.
Kendall,valley of the river Kent.
Kendra,wise ruler.
Kendrick,royal ruler.
Kenelm,brave helmet.
Kenley,royal meadow.
Kenna,beautiful.
Kennard,brave chieftain.
Kennedy,misshapen head.
Kenneth,handsome.
Kenney,fire-born.
Kennith,handsome.
Kenny,handsome.
Kenrick,fearless leader.
Kent,coastal land.
Kenton,royal settlement.
Kenward,brave guardian.
Kenway,brave warrior.
Kenyon,white hair.
Kenzie,light one.
Keon,God is gracious.
Kera,pure.
Kerensa,love.
Keri,dark.
Kermit,free man.
Kern,dark.
Kerr,marshland.
Kerri,dark and mysterious.
Kerry,dark-haired.
Kerwin,little dark one.
Kesha,pure.
Keshav,name of Lord Krishna.
Keshawn,God is gracious.
Kesia,favorite.
Kessie,chaste.
Kestrel,falcon.
Ketan,home.
Keturah,fragrance.
Kevin,handsome birth.
Kevina,gentle.
Kevon,gentle.
Keya,monsoon flower.
Keyan,royalty.
Keyla,pure.
Keyon,guiding.
Keyshawn,God is gracious.
Khadija,trustworthy.
khabib,beloved.
Khalid,eternal.
Khalida,immortal.
Khalil,friend.
Khalila,sweetheart.
Khamari,moon.
Khamzat,lion.
Khari,kingly.
Khloe,blooming.
Khristian,follower of Christ.
Khushal,happy.
Khushi,happiness.
Khyati,fame.
Kian,ancient.
Kiana,divine.
Kiara,bright or clear.
Kibibi,little lady.
Kidd,young goat.
Kiefer,pine tree.
Kiela,pure.
Kiera,little dark one.
Kieran,dark-haired.
Kieron,dark-haired.
Kiersten,follower of Christ.
Kiki,double happiness.
Kiley,narrow.
Kilian,warrior.
Killian,fierce.
Kim,bold.
Kimball,war leader.
Kimber,from the royal fortress.
Kimberly,from the meadow of the fortress.
Kimi,noble.
komal,soft or tender.
Kimiko,valuable child.
Kimmy,brave.
Kimo,supplanter.
Kin,gold.
kingshuk,from the king's tree.
Kindra,wise.
King,ruler.
Kingsley,from the king's field.
Kingston,king's town.
kaustubh,gem of Lord Vishnu.
Kinnard,brave.
Kinsey,royal victory.
Kinsley,king's meadow.
Kinto,golden.
Kiora,sun.
Kip,pointed hill.
Kipp,pointed.
Kira,shining.
Kiran,beam of light.
Kirby,church settlement.
Kiri,mountain skin.
Kiril,lordly.
Kirit,crown.
Kirk,church.
Kirkland,church land.
Kirkwood,church forest.
Kirra,leaf.
Kirsten,follower of Christ.
Kirstie,anointed.
Kirsty,follower of Christ.
Kirti,fame.
Kirtida,giver of fame.
Kiru,shining.
Kishan,black or dark.
Kishore,young boy.
Kit,carrier of Christ.
Kitty,pure.
Kiva,protected.
Kiyoshi,pure.
Kizzy,cinnamon.
Klaus,victory of the people.
Klay,mortal.
Klee,clover.
Kleio,glory.
Knox,round hill.
Knut,knot.
Ko,happiness.
Koa,warrior.
Kobe,tortoise.
Koby,supplanter.
Koda,friend.
Kody,helpful.
Koen,honest counselor.
Kofi,born on Friday.
Kohl,dark.
Koichi,shining first.
Koji,second child.
Kokoro,heart.
Kolbe,coal.
Kole,victory of the people.
Kolten,coal town.
Kolton,settlement.
Kona,lady.
Konner,wise.
Konnor,desire.
Konrad,bold counselor.
Konstantin,constant.
Kora,maiden.
Koral,stone.
Kord,bold counselor.
Korey,from the hollow.
Kori,maiden.
Kornel,horn.
Kort,bold.
Kory,hollow.
Kosi,river.
Kostas,stable.
Kourtney,short nose.
Kovan,mountain.
Krae,crow.
Kraig,rock.
Kramer,trader.
Krell,noise.
Kris,follower of Christ.
Krishna,dark or all-attractive.
Krista,anointed.
Kristen,follower of Christ.
Kristian,follower of Christ.
Kristie,anointed.
kasab,one who sells.
Kristin,anointed.
Kristina,follower of Christ.
Kristine,anointed.
Kristoffer,Christ-bearer.
Kristopher,bearing Christ.
Kristy,anointed.
Kriti,creation or work of art.
Krithik,shining.
Krupa,grace or mercy.
Krutika,star.
Krystal,clear ice.
Krystian,anointed.
Krystina,follower of Christ.
Krzysztof,Christ-bearer.
Kshiteesh,king of the earth.
Kuang,radiant.
Kuda,love.
Kudo,craft.
Kuldeep,lamp of the family.
Kumar,prince or young man.
Kumari,princess.
Kunal,lotus.
Kundan,pure gold.
Kunwar,prince.
Kura,treasure.
Kurgen,strong.
Kurt,bold counselor.
Kurtis,polite.
Kushal,clever or expert.
Kusum,flower.
Kwame,born on Saturday.
Kwan,strong.
Kwasi,born on Sunday.
Kyan,ancient.
Kyara,bright.
Kyden,companion.
Kye,ocean.
Kyira,shining.
Kyla,crown of laurels.
Kylan,narrow land.
Kyle,narrow strait.
Kylee,narrow.
Kyleigh,slim.
Kylen,narrow.
Kyler,archer.
Kym,royal.
Kyna,wise.
Kyndall,valley.
Kyra,lady or sun.
Kyran,dark.
Kyree,lord.
Kyrie,lord.
Kyril,lordly.
Kyros,master.
Kyson,son of Ky.
Kyu,focus.
Kyung,respected.

Laban,white.
Lacey,from Lassy.
Lachlan,from the land of lakes.
Lacy,cheerful.
Ladarius,possessor of good.
Laddie,young boy.
Lael,belonging to God.
Laetitia,joy.
Lafayette,beech grove.
Laila,night beauty.
Lailah,angel of the night.
Laine,path or roadway.
Laird,lord of the land.
Lajos,famous warrior.
Lake,body of water.
Lakisha,joyful life.
Laksh,aim or target.
Lakshay,target.
Lakshmi,goddess of wealth.
Lakshya,aim or goal.
Lal,beloved or red.
Lala,tulip.
Lalan,nurturing.
Lalita,playful or charming.
Lalo,noble guardian.
Lamar,of the sea.
Lambert,bright land.
Lamont,lawman.
Lana,calm as still water.
Lance,land or spear.
Lancelot,land.
Lander,lion man.
Lando,famous.
Landon,long hill.
Landry,ruler of the land.
Lane,path.
Lanette,small path.
Lang,long.
Langdon,long hill.
Langley,long meadow.
Langston,tall man's town.
Lani,sky or heaven.
Lanis,peaceful.
Lanny,precious.
Lantos,player of the lute.
Lanza,spear.
Lara,famous or bright.
Laraine,sea bird.
Lareina,the queen.
Larissa,cheerful.
Lark,songbird.
Larkin,rough or fierce.
Larnell,the power of the lion.
Laron,thief.
Larry,laurel-crowned.
Lars,crowned with laurel.
Larson,son of Lawrence.
Lashawn,God is gracious.
Lasse,victory of the people.
Lassie,young girl.
Latasha,born on Christmas.
Lateef,gentle or kind.
Latif,pleasant.
Latimer,interpreter.
Latisha,joy.
lakshmi,wealth and prosperity.
Latonya,praiseworthy.
Latoya,victorious one.
Laura,laurel leaf.
Laurel,sweet bay tree.
Lauren,laurel tree.
Laurence,from Laurentum.
Laurent,laurel.
Lauretta,little laurel.
Laurie,crowned with laurel.
Lauryn,laurel.
Lavanya,grace or beauty.
Lavender,purple flower.
Lavern,woodland.
Laverne,born in the spring.
Lavi,lion.
Lavina,purified.
Lavinia,woman of Rome.
Lavit,lovely.
Lawrence,laurel-crowned.
Lawson,son of Lawrence.
Laxman,prosperous.
Layla,night.
Layne,path.
Layton,settlement with a garden.
Lazarus,God has helped.
Lea,weary.
Leah,delicate or weary.
Leal,faithful.
Leander,lion man.
Leandra,lioness.
Leandro,lion man.
Leann,graceful meadow.
Leanna,gracious.
Leanne,grace and favor.
Lear,of the sea.
Leary,herdsman.
Leatrice,bringer of joy.
Leda,happy.
Ledger,spear tribe.
Lee,meadow or clearing.
Leela,divine play.
Leena,devoted.
Leesa,noble.
Leif,descendant or heir.
Leigh,meadow.
Leighton,meadow town.
Leila,dark-haired beauty.
Leilani,heavenly flower.
Leith,broad river.
Leka,defender of mankind.
Leland,fallow land.
Lelia,well-spoken.
Lemuel,devoted to God.
Len,brave lion.
Lena,bright one.
Lenard,lion strength.
Lene,bright.
Leni,torch.
Lennart,lion-hearted.
Lennon,lover.
Lennox,elm grove.
Lenny,brave lion.
Lenora,bright.
Lenore,light.
Leo,lion.
Leola,loyal.
Leon,lion-like.
Leona,lioness.
Leonard,brave as a lion.
Leonardo,lion-hearted.
Leone,lion.
Leonel,little lion.
Leonid,son of the lion.
Leonidas,lion's strength.
Leonora,light.
Leopold,brave people.
Leora,light to me.
Leroy,the king.
Les,from the gray fortress.
Lesley,garden of hollies.
Leslie,holly garden.
Lester,from Leicester.
Leticia,joy and gladness.
Letitia,joy.
Letty,happiness.
Lev,heart or lion.
Levander,lion man.
Leverett,young hare.
Levi,joined or attached.
Levon,lion.
Lew,famous warrior.
Lewis,renowned warrior.
Lex,defender of men.
Lexi,defender of humanity.
Lexington,town of the new settlement.
Lexis,protector.
Leyla,night.
Leyton,garden town.
Lia,bearer of good news.
Liam,resolute protector.
Liana,to bind.
Lianne,graceful willow.
Libbie,pledged to God.
Libby,God is my oath.
Liberty,freedom.
Lida,beloved by people.
Lidia,from Lydia.
Lief,beloved.
Liesl,God is my oath.
Ligia,clear-voiced.
Lila,night or play.
Lilah,night beauty.
Lilian,lily flower.
Liliana,pure lily.
Lilith,night monster or spirit.
Lilla,lily.
Lillian,purity.
Lilly,lily flower.
Lily,flower symbol of purity.
Lin,forest.
Lina,tender or sunlight.
Lincoln,lake colony.
Linda,beautiful.
Lindall,linden tree valley.
Linden,lime tree.
Lindon,linden tree hill.
Lindsay,island of linden trees.
Lindsey,from the linden tree island.
Lindy,beautiful.
Line,noble.
Linette,idol.
Link,lake.
Linley,flax meadow.
Linn,waterfall.
Linna,flower.
Linnea,twinflower.
Linnie,bright.
Linus,flax-colored hair.
Linwood,linden tree forest.
Lionel,young lion.
Lior,my light.
Liora,I have light.
Liron,my joy.
Lisa,pledged to God.
Lisandra,liberator.
Lisbeth,devoted to God.
Lise,noble.
Lisette,pledged to God.
Lisha,noble.
Lisle,from the island.
Lissa,honey bee.
Lissette,God is my oath.
Lita,glad.
Liv,life or protection.
Livia,blue or envious.
Livingston,Leofwine's settlement.
Livvy,olive.
Liza,God is my oath.
Lizbeth,God is my oath.
Lizette,pledged to God.
Lizzie,consecrated to God.
Llewellyn,leader or lion-like.
Lloyd,gray-haired.
Loch,lake.
Lochlan,land of the lakes.
Locke,forest or stronghold.
Lockie,lake.
Lockwood,forest enclosure.
Loda,famous.
Logan,little hollow.
Lois,superior or desirable.
Loki,trickster god.
Lola,sorrows.
Lolita,sorrow.
Loman,bright.
Lona,solitary.
London,fortress of the moon.
Loni,sky.
Lonna,lonely.
Lonnie,noble and ready.
Lora,laurel.
Loran,laurel.
Loras,laurel.
Lord,ruler.
Lore,flower.
Loredana,laurel grove.
Lorelei,alluring.
Lorena,laurel.
Lorence,laurel.
Lorenz,crowned with laurel.
Lorenzo,laurel-crowned.
Loretta,pure.
Lori,laurel.
Lorin,laurel.
Loris,slender.
Lorna,laurel or forsaken.
Lorne,from Lorne.
Lorraine,from Lorraine.
Lorri,laurel.
Lorry,laurel.
Lorth,famous.
Lot,hidden or veil.
Lottie,free woman.
Lotus,flower.
Lou,famous warrior.
Louie,famous in battle.
Louis,renowned warrior.
Louisa,famous warrior.
Louise,famous warrior.
Lourdes,place name.
Love,affection.
Lovell,young wolf.
Lovette,little loved one.
Lovi,lion.
Lovis,famous warrior.
Lowell,young wolf.
Lowri,laurel.
Loyal,faithful.
Loyd,gray.
Lu,famous warrior.
Lua,moon.
Luan,lion.
Luana,graceful battle.
Luanne,enjoyment.
Lubna,storax tree.
Luc,light.
Luca,bringer of light.
Lucan,from Lucania.
Lucas,light-giver.
Lucerne,lamp.
Lucia,shining.
Lucian,light.
Luciana,light.
Luciano,shining.
Lucid,clear.
Lucie,light.
Lucien,light.
Lucifer,light-bringer.
Lucila,light.
Lucille,light.
Lucinda,beautiful light.
Lucio,shining.
Lucius,luminous.
Lucky,fortunate.
Lucretia,wealth.
Lucy,light.
Ludlow,prince's hill.
Ludvig,famous warrior.
Ludwig,famous warrior.
Luella,famous elf.
Lugh,shining one.
Luigi,famous warrior.
Luis,famous warrior.
Luisa,renowned warrior.
Lujayn,silver.
Luka,light.
Lukas,light-bringer.
Luke,light-giver.
Lula,famous warrior.
Lulu,pearl or famous warrior.
Lumini,light.
Luna,moon.
Lundy,marsh island.
Lunn,marsh.
Lunette,little moon.
Lupe,wolf.
Lupin,wolf-like.
Lupita,little wolf.
Lura,alluring.
Lurlene,temptress.
Lutalo,warrior.
Luther,army of the people.
Luv,son of Rama or affection.
Luvina,little beloved.
Lux,light.
Luz,light.
Lyall,wolf.
Lycia,from Lycia.
Lyda,noble.
Lydia,noble one or from Lydia.
Lydon,linden tree hill.
Lyle,from the island.
Lyman,man from the valley.
Lyn,waterfall or lake.
Lynda,beautiful.
Lyndell,linden valley.
Lynden,linden tree.
Lyndsay,linden tree island.
Lyndsey,lake.
Lynette,little lake or idol.
Lynn,lake.
Lynne,waterfall.
Lynsey,lake.
Lyra,lyre player or constellation.
Lyric,words of a song.
Lysander,liberator of men.
Lysandra,liberator.
Lysette,pledged to God.
Lyza,God is my oath.

Maarten,warlike.
Mabel,lovable.
Mable,lovable.
Mac,son of.
Macaria,blessed.
Mace,aromatic spice.
Macey,weapon.
Machiko,fortunate child.
Mack,son of.
Mackenzie,child of the wise leader.
Macy,weapon.
Madan,god of love.
Maddie,woman from Magdala.
Maddock,fortunate.
Maddux,son of Madoc.
Madeleine,high tower.
Madeline,elevated.
Madhav,sweet like honey.
Madhavan,Lord Krishna.
Madhu,honey.
Madhur,sweet.
Madison,son of Matthew.
Madoc,fortunate.
Madonna,my lady.
Madox,fortunate.
Madra,mother.
Madre,mother.
Mae,bitter or pearl.
Maegan,pearl.
Maeve,intoxicating.
Mafalda,mighty in battle.
Magda,high tower.
Magdalena,from Magdala.
Magdalene,high tower.
Maggie,pearl.
Magnolia,flower name.
Magnus,great.
Maha,great one.
Mahala,tender.
Mahalia,affection.
Mahatma,great soul.
Mahendra,great Indra.
Mahesh,great lord.
Mahima,greatness.
Mahir,skilled.
Mahira,expert.
Mahmoud,praiseworthy.
Mahmud,praiseworthy.
Mai,brightness.
Maia,great or mother.
Maida,maiden.
Maier,bright.
Maik,who is like God.
Maika,God's gift.
Maire,bitter.
Mairead,pearl.
Maisie,pearl.
Maitland,meadow land.
Maitreyi,friendly.
Majid,glorious.
Major,greater.
Makani,the wind.
Makara,born in January.
Makayla,who is like God.
Makenna,happiness.
Makenzie,child of the wise ruler.
Maksim,greatest.
Malachi,my messenger.
Malachy,messenger of God.
Malaika,angel.
Malak,angel.
Malcolm,follower of Saint Columba.
Malcom,devotee.
Malden,meeting place.
Maleah,bitter.
Malia,calm or bitter.
Malik,king or ruler.
Malika,queen.
Malina,raspberry or soothing.
Malinda,gentle.
Malka,queen.
Mallory,unfortunate.
Milo,soldier or merciful.
Malva,slender.
Malvin,gentle friend.
Mamie,pearl.
Manan,thinking.
Manas,mind or intellect.
Manav,man or human being.
Manda,lovable.
Mandara,mythical tree.
Mandela,messenger.
Mandeep,light of the mind.
Mandira,temple.
Mandy,lovable.
Manfred,man of peace.
Manhattan,hilly island.
Mani,jewel.
Manish,lord of the mind.
Manisha,intellect.
Manit,highly respected.
Manley,hero's meadow.
Manoj,born of the mind.
Manon,bitter.
Mansel,from le Mans.
Mansfield,field by the river.
Mansi,plucked flower.
Manson,son of Magnus.
Mansur,victorious.
Manuel,God is with us.
Manuela,God is with us.
Manvi,humanly.
Mara,bitter.
Marc,warlike.
Marcel,little warrior.
Marcela,warlike.
Marcella,warlike.
Marcello,young warrior.
Marcellus,little hammer.
Marci,warlike.
Marcia,of Mars.
Marcie,warlike.
Marco,warlike.
Marcos,dedicated to Mars.
Marcus,polite or shining.
Marcy,warlike.
Mardi,born on Tuesday.
Mare,the sea.
Maree,star of the sea.
Marek,warlike.
Maren,star of the sea.
Margaret,pearl.
Margarita,pearl.
Marge,pearl.
Margery,pearl.
Margie,pearl.
Margo,pearl.
Margot,pearl.
Marguerite,pearl.
Mari,bitter.
Maria,star of the sea.
Mariah,lord is my teacher.
Mariam,beloved.
Marian,star of the sea.
Mariana,graceful.
Mariane,bitter.
Maribel,beautiful Mary.
Maricela,of Mars.
Marie,bitter.
Mariel,bitter.
Mariella,star of the sea.
Marielle,bitter.
Marietta,little Mary.
Marika,bitter.
Mariko,child of the village.
Marilyn,lake of Mary.
Marina,from the sea.
Mario,warlike.
Marion,bitter.
Maris,of the sea.
Marisa,of the sea.
Marisol,sea and sun.
Marissa,of the sea.
Marit,pearl.
Maritza,star of the sea.
Marius,manly.
Marjorie,pearl.
Mark,warlike.
Markos,polite.
Markus,shining.
Marla,high tower.
Marlana,bitter.
Marlee,marshy meadow.
Marlena,star of the sea.
Marlene,high tower.
Marley,pleasant wood.
Marlin,sea fortress.
Marlo,driftwood.
Marlon,little falcon.
Marlow,driftwood.
Marlowe,driftwood.
Marmaduke,follower of Maedoc.
Marnie,from the sea.
Marquis,noble.
Mars,god of war.
Marsha,warlike.
Marshal,horse servant.
Marshall,keeper of horses.
Marta,lady.
Marten,warlike.
Martha,the lady.
Martie,warlike.
Martin,warlike.
Martina,warlike.
Marty,warlike.
Marut,wind.
Marvin,sea friend.
Mary,bitter.
Maryann,bitter grace.
Marybeth,bitter.
Maryjane,bitter.
Marylou,bitter.
Masaccio,clumsy Thomas.
Masani,gap.
Masao,righteous man.
Mashal,torch.
Mason,stone worker.
Massimo,greatest.
Master,ruler.
Masud,fortunate.
Mat,gift of God.
Mateo,gift of God.
Mateus,gift of God.
Mathew,gift of God.
Mathias,gift of God.
Mathilda,mighty in battle.
Mathilde,mighty in battle.
Mathis,gift of God.
Matias,gift of God.
Matilda,mighty in battle.
Matos,from the woods.
Mats,gift of God.
Matt,gift of God.
Matteo,gift of God.
Matthew,gift of God.
Matthias,gift of Jehovah.
Mattie,gift of God.
Matty,gift of God.
Maude,mighty in battle.
Maura,dark-skinned.
Maureen,bitter.
Maurice,dark-skinned.
Mauricio,dark-skinned.
Maurine,bitter.
Maurizio,dark-skinned.
Mauro,dark-skinned.
Maury,dark-skinned.
Maverick,independent.
Mavis,songbird.
Max,greatest.
Maxie,greatest.
Maxim,greatest.
Maxima,greatest.
Maximilian,greatest.
Maximiliano,greatest.
Maximillion,greatest.
Maximo,greatest.
Maximus,greatest.
Maxine,greatest.
Maxwell,great stream.
May,the month of May.
Maya,illusion or water.
Mayank,moon.
Mayer,bright.
Mayes,field.
Maynard,brave strength.
Mayra,bitter.
Mayson,stone worker.
Mayur,peacock.
Mayuri,peahen.
Mazie,pearl.
Mcclain,son of the servant.
Mckayla,who is like God.
Mckenna,child of the handsome one.
Mckenzie,fair leader.
Mckinley,son of the fair warrior.
Mead,from the meadow.
Meade,meadow.
Meagan,pearl.
Meaghan,pearl.
Mecca,holy city.
Medardo,powerful.
Medha,intellect or wisdom.
Medina,city of the prophet.
Meena,gem or fish.
Meenakshi,fish-eyed.
Meera,prosperous.
Meg,pearl.
Megan,pearl.
Meghan,pearl.
Mehal,cloud.
Mehar,grace.
Mehtab,moon.
Mei,plum.
Meir,giving light.
Meka,pure.
Mel,council protector.
Melania,dark or black.
Melanie,dark-skinned.
Melany,dark.
Melba,soft or slender.
Melchior,king of light.
Melek,angel.
Melia,ash tree.
Melina,honey.
Melinda,gentle or honey.
Meliora,better.
Melisande,strong in work.
Melissa,honey bee.
Melita,honey.
Melody,song.
Melonie,black.
Melora,golden apple.
Melva,gentle.
Melvin,gentle friend.
Melvina,gentle friend.
Melvyn,gentle friend.
Mena,love.
Mendel,comforter.
Mercedes,merciful.
Mercer,merchant.
Mercy,compassion.
Meredith,great ruler.
Meris,of the sea.
Merit,worthy.
Merle,blackbird.
Merlin,sea fortress.
Merrick,fame or power.
Merrill,bright sea.
Merritt,deserving.
Merry,joyful.
Mervin,famous friend.
Mervyn,sea friend.
Meryn,of the sea.
Mesut,happy.
Meta,ambitious.
Meyer,bright.
Mia,mine.
Miah,moon.
Mica,who is like God.
Micaela,who is like God.
Micah,who is like God.
Michael,who is like God.
Michaela,who is like God.
Michal,brook.
Micheal,who is like God.
Michel,who is like God.
Michele,who is like God.
Michelina,who is like God.
Michelle,who is like God.
Michio,man with the strength of three thousand.
Mick,who is like God.
Mickey,who is like God.
Micky,who is like God.
Midas,king with the golden touch.
Middleton,middle town.
Midge,pearl.
Mieko,bright child.
Miguel,who is like God.
Mika,beautiful fragrance.
Mikael,who is like God.
Mikah,who is like God.
Mikaila,who is like God.
Mikayla,who is like God.
Mike,who is like God.
Mikey,who is like God.
Mikhail,who is like God.
Miki,flower stalk.
Mila,gracious or dear.
Milagros,miracles.
Milan,gracious or from Milan.
Milana,gracious.
Milburn,mill stream.
Mildred,gentle strength.
Miles,soldier or merciful.
Milford,ford by a mill.
Milica,gracious.
Milind,honey bee.
Millard,guardian of the mill.
Miller,grinder of grain.
Millicent,industrious.
Millie,industrious.
Milo,merciful.
Milos,lover of glory.
Milton,town with a mill.
Mimi,bitter.
Mina,resolute protector.
Minal,precious stone.
Minda,love.
Mindel,bitter.
Mindi,honey.
Mindy,gentle.
Minerva,intellect.
Ming,bright.
Minh,bright.
Minna,love.
Minnie,intellect.
Minnow,small fish.
Minor,smaller.
Minto,mint.
Minu,heaven.
Mira,wonderful or peace.
Mirabel,wonderful.
Mirabelle,extraordinary.
Miracle,wonder.
Miranda,worthy of admiration.
Mirat,mirror.
Mirella,admirable.
